Sport,Event,Medal,Athlete,Country,Year,City,Season
TENNIS,MEN’S SINGLES,Bronze,Lorenzo Musetti,Italy,2024,Paris,Summer
TENNIS,WOMEN’S DOUBLES,Bronze,Cristina Busca and Sara Sorribes Tormo,Spain,2024,Paris,Summer
TRACK AND FIELD,MEN’S 100M,Bronze,Fred Kerley,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S HAMMER THROW,Bronze,Mykhaylo Kokhan,Ukraine,2024,Paris,Summer
ARCHERY,WOMEN’S INDIVIDUAL,Bronze,Lisa Barbelin,France,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S FLOOR EXERCISE,Bronze,Jake Jarman,Great Britain,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S POMMEL HORSE,Bronze,Stephen Nedoroscik,United States,2024,Paris,Summer
ARTISTIC GYMNASTICS,WOMEN’S VAULT,Bronze,Jade Carey,United States,2024,Paris,Summer
BADMINTON,WOMEN’S DOUBLES,Bronze,Nami Matsuyama and Chiharu Shida,Japan,2024,Paris,Summer
CYCLING,MEN’S ROAD RACE,Bronze,Christophe Laporte,France,2024,Paris,Summer
EQUESTRIAN,DRESSAGE TEAM,Bronze,Britain,Britain,2024,Paris,Summer
FENCING,WOMEN’S TEAM SABER,Bronze,Japan,Japan,2024,Paris,Summer
JUDO,MIXED TEAM,Bronze,Brazil and South Korea,Brazil and South Korea,2024,Paris,Summer
ROWING,MEN’S EIGHT,Bronze,United States,United States,2024,Paris,Summer
ROWING,WOMEN’S EIGHT,Bronze,Britain,Britain,2024,Paris,Summer
ROWING,MEN’S SINGLE SCULLS,Bronze,Simon van Dorp,Netherlands,2024,Paris,Summer
ROWING,WOMEN’S SINGLE SCULLS,Bronze,Viktorija Senkute,Lithuania,2024,Paris,Summer
SAILING,MEN’S WINDSURFING,Bronze,Luuc van Opzeeland,Netherlands,2024,Paris,Summer
SAILING,WOMEN’S WINDSURFING,Bronze,Emma Wilson,Great Britain,2024,Paris,Summer
SHOOTING,WOMEN’S 25M PISTOL,Bronze,Veronika Major,Hungary,2024,Paris,Summer
SHOOTING,MEN’S SKEET,Bronze,Lee Meng-yuan,Taiwan,2024,Paris,Summer
SWIMMING,MEN’S 100M BUTTERFLY,Bronze,Ilya Kharun,Canada,2024,Paris,Summer
SWIMMING,MIXED 4X100 MEDLEY RELAY,Bronze,Australia,Australia,2024,Paris,Summer
SWIMMING,WOMEN’S 200M INDIVIDUAL MEDLEY,Bronze,Kaylee McKeown,Australia,2024,Paris,Summer
SWIMMING,WOMEN’S 800M FREESTYLE,Bronze,Paige Madden,United States,2024,Paris,Summer
TABLE TENNIS,WOMEN’S SINGLES,Bronze,Hina Hayata,Japan,2024,Paris,Summer
TENNIS,MEN’S DOUBLES,Bronze,Taylor Fritz and Tommy Paul,United States,2024,Paris,Summer
TENNIS,WOMEN’S SINGLES,Bronze,Iga Swiatek,Poland,2024,Paris,Summer
TRACK AND FIELD,MEN’S SHOTPUT,Bronze,Rajindra Campbell,Jamaica,2024,Paris,Summer
TRACK AND FIELD,MIXED 4X400M RELAY,Bronze,Britain,Britain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 100M,Bronze,Melissa Jefferson,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S TRIPLE JUMP,Bronze,Jasmine Moore,United States,2024,Paris,Summer
ARCHERY,MIXED TEAM,Bronze,Brady Ellison and Casey Kaufhold,United States,2024,Paris,Summer
BADMINTON,MIXED DOUBLES,Bronze,Yuta Watanabe and Arisa Higashino,Japan,2024,Paris,Summer
DIVING,MEN’S SYNCHRONIZED 3M SPRINGBOARD,Bronze,Anthony Harding and Jack Laugher,Great Britain,2024,Paris,Summer
CYCLING BMX RACING,MEN’S,Bronze,Romain Mahieu,France,2024,Paris,Summer
CYCLING BMX RACING,WOMEN’S,Bronze,Zoe Claessens,Switzerland,2024,Paris,Summer
EQUESTRIAN,TEAM JUMPING,Bronze,France,France,2024,Paris,Summer
FENCING,MEN’S TEAM ÉPÉE,Bronze,Czech Republic,Czech Republic,2024,Paris,Summer
ROWING,MEN’S PAIR,Bronze,Andrin Gulich and Roman Roeoesli,Switzerland,2024,Paris,Summer
ROWING,MEN’S LIGHTWEIGHT DOUBLE SCULLS,Bronze,Petros Gaidatzis and Antonios Papakonstantinou,Greece,2024,Paris,Summer
ROWING,WOMEN’S PAIR,Bronze,Annabelle McIntyre and Jess Morrison,Australia,2024,Paris,Summer
ROWING,WOMEN’S LIGHTWEIGHT DOUBLE SCULLS,Bronze,Zoi Fitsiou and Dimitra Kontou,Greece,2024,Paris,Summer
SAILING,MEN’S SKIFF,Bronze,Ian Barrows and Hanks Henken,United States,2024,Paris,Summer
SAILING,WOMEN’S SKIFF,Bronze,Charline Picon and Sarah Steyaert,France,2024,Paris,Summer
SHOOTING,WOMEN’S 50M RIFLE 3 POSITIONS,Bronze,Zhang Qiongyue,China,2024,Paris,Summer
SWIMMING,MEN’S 200M INDIVIDUAL MEDLEY,Bronze,Wang Shun,China,2024,Paris,Summer
SWIMMING,MEN’S 50M FREESTYLE,Bronze,Florent Manaudou,France,2024,Paris,Summer
SWIMMING,WOMEN’S 200 BACKSTROKE,Bronze,Kylie Masse,Canada,2024,Paris,Summer
TENNIS,MIXED DOUBLES,Bronze,Gabriela Dabrowski and Felix Auger Aliassime,Canada,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 10,000M",Bronze,Grant Fisher,United States,2024,Paris,Summer
TRAMPOLINE,MEN’S ,Bronze,Yan Langyu,China,2024,Paris,Summer
TRAMPOLINE,WOMEN’S,Bronze,Sophiane Methot,Canada,2024,Paris,Summer
CANOE SLALOM,MEN’S SINGLE KAYAK,Bronze,Pau Echaniz,Spain,2024,Paris,Summer
FENCING,WOMEN’S TEAM FOIL,Bronze,Japan,Japan,2024,Paris,Summer
GYMNASTICS,WOMEN’S ALL-AROUND,Bronze,Sunisa Lee,United States,2024,Paris,Summer
ROWING,MEN’S DOUBLE SCULLS,Bronze,Philip Doyle and Daire Lynch,Ireland,2024,Paris,Summer
ROWING,WOMEN’S DOUBLE SCULLS,Bronze,Mathilda Hodgkins Byrne and Rebecca Wilde,Great Britain,2024,Paris,Summer
ROWING,MEN’S FOUR,Bronze,Britain,Britain,2024,Paris,Summer
ROWING,WOMEN’S FOUR,Bronze,New Zealand,New Zealand,2024,Paris,Summer
SHOOTING,MEN’S 50M RIFLE 3 POSITIONS,Bronze,Swapnil Kusale,India,2024,Paris,Summer
SWIMMING,MEN’S 200M BACKSTROKE,Bronze,Roman Mityukov,Switzerland,2024,Paris,Summer
SWIMMING,WOMEN’S 200M BUTTERFLY,Bronze,Zhang Yufei,China,2024,Paris,Summer
SWIMMING,WOMEN’S 200M BREASTSTROKE,Bronze,Tes Schouten,Netherlands,2024,Paris,Summer
SWIMMING,WOMENS 4X200 FREESTYLE RELAY,Bronze,China,China,2024,Paris,Summer
TRACK AND FIELD,MEN’S 20KM RACE WALK,Bronze,Álvaro Martín,Spain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 20KM RACE WALK,Bronze,Jemima Montag,Australia,2024,Paris,Summer
GYMNASTICS,MEN’S ALL AROUND,Bronze,Xiao Ruoteng,China,2024,Paris,Summer
CANOE,WOMEN’S SINGLE,Bronze,Evy Leibfarth,United States,2024,Paris,Summer
CYCLING,WOMEN’S PARK,Bronze,Natalya Diehm,Australia,2024,Paris,Summer
CYCLING,MEN’S PARK,Bronze,Anthony Jean Jean,France,2024,Paris,Summer
DIVING,WOMEN’S SYNCHRONIZED 10-METER PLATFORM,Bronze,Andrea Spendolini Sirieix and Lois Toulson,Great Britain,2024,Paris,Summer
FENCING,MEN’S SABRE TEAM,Bronze,France,France,2024,Paris,Summer
JUDO,WOMEN’S 70KG,Bronze,Michaela Polleres,Austria,2024,Paris,Summer
JUDO,MEN’S 90KG,Bronze,Maxime-Gael Ngayap Hambou,France,2024,Paris,Summer
ROWING,MEN’S QUADRUPLE SCULLS,Bronze,"Dominik Czaja, Mateusz Biskup, Miroslaw Zietarski, Fabian Baranski)",Poland,2024,Paris,Summer
ROWING,WOMEN’S QUADRUPLE SCULLS,Bronze,"Maren Voelz, Tabea Schendekehl, Leonie Menzel, Pia Greiten)",Germany,2024,Paris,Summer
SWIMMING,WOMEN’S 100M FREESTYLE,Bronze,Siobhan Haughey,Hong Kong,2024,Paris,Summer
SWIMMING,"WOMEN’S 1,500M FREESTYLE",Bronze,Isabel Gose,Germany,2024,Paris,Summer
SWIMMING,MEN’S 100M FREESTYLE,Bronze,David Popovici,Romania,2024,Paris,Summer
SWIMMING,MEN’S 200M BREASTSTROKE,Bronze,Caspar Corbeau,Netherlands,2024,Paris,Summer
SWIMMING,MEN’S 200M BUTTERFLY,Bronze,Ilya Kharun,Canada,2024,Paris,Summer
SHOOTING,WOMEN’S TRAP,Bronze,Penny Smith,Australia,2024,Paris,Summer
TRIATHLON,WOMEN,Bronze,Beth Potter,Great Britain,2024,Paris,Summer
TRIATHLON,MEN,Bronze,Leo Bergere,France,2024,Paris,Summer
FENCING,WOMEN’S EPEE TEAM,Bronze,Poland,Poland,2024,Paris,Summer
GYMNASTICS,WOMEN’S TEAM,Bronze,Brazil,Brazil,2024,Paris,Summer
RUGBY SEVENS,WOMEN’S,Bronze,United States,United States,2024,Paris,Summer
SHOOTING,MIXED TEAM 10M AIR PISTOL,Bronze,Manu Bhaker and Sarabjot Singh,India,2024,Paris,Summer
SHOOTING,MEN’S TRAP,Bronze,Jean Pierre Brol,Guatemala,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BACKSTROKE,Bronze,Katharine Berkoff,United States,2024,Paris,Summer
SWIMMING,MEN’S 800M FREESTYLE,Bronze,Gregorio Paltrinieri,Italy,2024,Paris,Summer
SWIMMING,MEN’S 4X200M FREESTYLE RELAY,Bronze,Australia,Australia,2024,Paris,Summer
TABLE TENNIS,MEN’S 4x200M FREESTYLE RELAY,Bronze,Lim Jong-hoon and Shin Yu-bin,South Korea,2024,Paris,Summer
ARCHERY,MIXED DOUBLES,Bronze,Turkey,Turkey,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S TEAM,Bronze,United States,United States,2024,Paris,Summer
CANOE SLALOM,MEN’S TEAM,Bronze,Matej Benus,Slovakia,2024,Paris,Summer
CYCLING MOUNTAIN BIKE,MEN’S CANOE SINGLE,Bronze,Alan Hatherly,South Africa,2024,Paris,Summer
DIVING,MEN’S CROSS-COUNTRY,Bronze,Rylan Wiens and Nathan Zsombor-Murray,Canada,2024,Paris,Summer
EQUESTRIAN,MEN’S SYNCHRONIZED 10M PLATFORM,Bronze,Japan,Japan,2024,Paris,Summer
FENCING,EVENTING TEAM,Bronze,Olga Kharlan,Ukraine,2024,Paris,Summer
FENCING,MEN’S FOIL INDIVIDUAL,Bronze,Nick Itkin,United States,2024,Paris,Summer
SHOOTING,WOMEN’S 57KG,Bronze,Audrey Gogniat,Switzerland,2024,Paris,Summer
SHOOTING,MEN’S 10M AIR RIFLE,Bronze,Miran Maricic,Croatia,2024,Paris,Summer
SKATEBOARDING,WOMEN’S 10M AIR RIFLE,Bronze,Nyjah Huston,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BREASTSTROKE,Bronze,Mona McSharry,Ireland,2024,Paris,Summer
SWIMMING,WOMEN’S 200M FREESTYLE,Bronze,Siobhan Bernadette Haughey,Hong Kong,2024,Paris,Summer
SWIMMING,WOMEN’S 400M INDIVIDUAL MEDLEY,Bronze,Emma Weyant,United States,2024,Paris,Summer
SWIMMING,MEN’S 100M BACKSTROKE,Bronze,Ryan Murphy,United States,2024,Paris,Summer
SWIMMING,MEN’S 200M FREESTYLE,Bronze,Luke Hobson,United States,2024,Paris,Summer
ARCHERY,WOMEN’S TEAM,Bronze,Mexico,Mexico,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK SINGLE,Bronze,Kimberley Woods,Great Britain,2024,Paris,Summer
CYCLING MOUNTAIN BIKE,WOMEN’S CROSS-COUNTRY,Bronze,Jenny Rissveds,Sweden,2024,Paris,Summer
FENCING,WOMEN’S FOIL INDIVIDUAL,Bronze,Eleanor Harvey,Canada,2024,Paris,Summer
SHOOTING,MEN’S 10M AIR PISTOL,Bronze,Paolo Monna,Italy,2024,Paris,Summer
SWIMMING,MEN’S 400M INDIVIDUAL MEDLEY,Bronze,Carson Foster,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BUTTERFLY,Bronze,Zhang Yufei,China,2024,Paris,Summer
SHOOTING,WOMEN’S 10M AIR PISTOL,Bronze,Manu Bhaker,India,2024,Paris,Summer
SKATEBOARDING,WOMEN’S STREET,Bronze,Rayssa Leal,Brazil,2024,Paris,Summer
CYCLING,MEN’S INDIVIDUAL TIME TRIAL,Bronze,Wout van Aert,Belgium,2024,Paris,Summer
CYCLING,WOMEN’S INDIVIDUAL TIME TRIAL,Bronze,Chloe Dygert,United States,2024,Paris,Summer
DIVING,WOMEN’S SYNCHRONIZED 3M SPRINGBOARD,Bronze,Yasmin Harper and Scarlett Mew Jensen,Great Britain,2024,Paris,Summer
FENCING,WOMEN’S EPEE INDIVIDUAL,Bronze,Eszter Muhari,Hungary,2024,Paris,Summer
FENCING,MEN’S SABER INDIVIDUAL,Bronze,Luigi Samele,Italy,2024,Paris,Summer
JUDO,WOMEN 48KG,Bronze,Shirine Boukli,France,2024,Paris,Summer
RUGBY SEVENS,MEN’S,Bronze,South Africa,South Africa,2024,Paris,Summer
SHOOTING,10M AIR RIFLE MIXED TEAM,Bronze,Alexandra Le and Islam Satpayev,Kazakhstan,2024,Paris,Summer
SWIMMING,MEN’S 400M FREESTYLE,Bronze,Kim Woo-min,South Korea,2024,Paris,Summer
SWIMMING,MEN’S 4X100M FREESTYLE RELAY,Bronze,Italy,Italy,2024,Paris,Summer
SWIMMING,WOMEN’S 400M FREESTYLE,Bronze,Katie Ledecky,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 4X100M FREESTYLE RELAY,Bronze,China,China,2024,Paris,Summer
BOXING,MEN’S 57KG,Bronze,Charlie Senior,Australia,2024,Paris,Summer
BOXING,MEN’S 57KG,Bronze,Javier Ibanez Diaz,Bulgaria,2024,Paris,Summer
BOXING,WOMEN’S 57KG,Bronze,Nesthy Petecio,Philippines,2024,Paris,Summer
BOXING,WOMEN’S 57KG,Bronze,Esra Yildiz Kahraman,Turkey,2024,Paris,Summer
BOXING,MEN’S +92KG,Bronze,Djamili-Dini Aboudou Moindze,France,2024,Paris,Summer
BOXING,MEN’S +92KG,Bronze,Nelvie Raman Tiafack,Germany,2024,Paris,Summer
BOXING,WOMEN’S 75KG,Bronze,Caitlin Parker,Australia,2024,Paris,Summer
BOXING,WOMEN’S 75KG,Bronze,Cindy Ngamba,AIN,2024,Paris,Summer
TAEKWONDO,MEN’S +80KG,Bronze,Cheick Sallah Cisse,Ivory Coast,2024,Paris,Summer
TAEKWONDO,MEN’S +80KG,Bronze,Rafael Alba,Cuba,2024,Paris,Summer
TAEKWONDO,WOMEN’S +67KG,Bronze,Lee Dabin,South Korea,2024,Paris,Summer
TAEKWONDO,WOMEN’S +67KG,Bronze,Nafia Kus Aydin,Turkey,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 74KG,Bronze,Chermen Valiev,Albany,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 74KG,Bronze,Kyle Dake,United States,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 62KG,Bronze,Aisuluu Tynybekova,Kyrgyzstan,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 62KG,Bronze,Grace Bullen,Norway,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 125KG,Bronze,Giorgi Meshvildishvili,Azerbaijan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 125KG,Bronze,Taha Akgul,Turkey,2024,Paris,Summer
BOXING,MEN’S 71KG,Bronze,Lewis Richardson,Britain,2024,Paris,Summer
BOXING,MEN’S 71KG,Bronze,Omari Jones,United States,2024,Paris,Summer
BOXING,MEN’S 92 KG,Bronze,Enmanuel Reyes Pla,Spain,2024,Paris,Summer
BOXING,MEN’S 92 KG,Bronze,Davlat Boltaev,Tajikistan,2024,Paris,Summer
BOXING,WOMEN’S 50KG,Bronze,Nazym Kyzaibay,Kazakhstan,2024,Paris,Summer
BOXING,WOMEN’S 50KG,Bronze,Aira Villegas,Philippines,2024,Paris,Summer
BOXING,WOMEN’S 66KG,Bronze,Janjaem Suwannapheng,Thailand,2024,Paris,Summer
BOXING,WOMEN’S 66KG,Bronze,Chen Nien Chin,Taiwan,2024,Paris,Summer
TAEKWONDO,WOMEN’S -67KG,Bronze,Kristina Teachout,United States,2024,Paris,Summer
TAEKWONDO,WOMEN’S -67KG,Bronze,Sarah Chaari,Belgium,2024,Paris,Summer
TAEKWONDO,MEN’S -80KG,Bronze,Edi Hrnic,Denmark,2024,Paris,Summer
TAEKWONDO,MEN’S -80KG,Bronze,Simone Alessio,Italy,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 57KG,Bronze,Aman Aman,India,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 57KG,Bronze,Gulomjon Abdullaev,Uzbekistan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 86KG,Bronze,Aaron Brooks,United States,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 86KG,Bronze,Dauren Kurugliev,Greece,2024,Paris,Summer
JUDO,MEN’S +100KG,Bronze,Temur Rakhimov,Tadzhikistan,2024,Paris,Summer
JUDO,MEN’S +100KG,Bronze,Alisher Yusupov,Uzbekistan,2024,Paris,Summer
JUDO,WOMEN’S +78KG,Bronze,Romane Dicko,France,2024,Paris,Summer
JUDO,WOMEN’S +78KG,Bronze,Kim Ha-yun,South Korea,2024,Paris,Summer
JUDO,MEN’S -100KG,Bronze,Peter Paltchik,Israel,2024,Paris,Summer
JUDO,MEN’S -100KG,Bronze,Muzaffarbek Turoboyev,Uzbekistan,2024,Paris,Summer
JUDO,WOMEN’S -78KG,Bronze,Ma Zhenzhao,China,2024,Paris,Summer
JUDO,WOMEN’S -78KG,Bronze,Patricia Sampaio,Portugal,2024,Paris,Summer
JUDO,WOMEN’S 63KG,Bronze,Clarisse Agbegnenou,France,2024,Paris,Summer
JUDO,WOMEN’S 63KG,Bronze,Laura Fazliu,Kosovo,2024,Paris,Summer
JUDO,MEN’S 81KG,Bronze,Lee Joon-hwan,South Korea,2024,Paris,Summer
JUDO,MEN’S 81KG,Bronze,Somon Makhmadbekov,Tajikistan,2024,Paris,Summer
JUDO,WOMEN’S SABER INDIVIDUAL,Bronze,Sarah Leonie Cysique,France,2024,Paris,Summer
JUDO,WOMEN’S SABER INDIVIDUAL,Bronze,Haruka Funakubo,Japan,2024,Paris,Summer
JUDO,MEN’S 73KG,Bronze,Soichi Hashimoto,Japan,2024,Paris,Summer
JUDO,MEN’S 73KG,Bronze,Adil Osmanov,Moldova,2024,Paris,Summer
JUDO,WOMEN’S 52KG,Bronze,Larissa Pimenta,Brazil,2024,Paris,Summer
JUDO,WOMEN’S 52KG,Bronze,Amandine Buchard,France,2024,Paris,Summer
JUDO,MEN’S 66KG,Bronze,Gusman Kyrgyzbayev,Kazakhstan,2024,Paris,Summer
JUDO,MEN’S 66KG,Bronze,Denis Vieru,Moldova,2024,Paris,Summer
JUDO,MEN 60KG,Bronze,Ryuju Nagayama,Japan,2024,Paris,Summer
JUDO,MEN 60KG,Bronze,Francisco Garrigos,Spain,2024,Paris,Summer
GYMNASTICS,MEN’S HORIZONTAL BAR,Bronze,Zhang Boheng,China,2024,Paris,Summer
GYMNASTICS,MEN’S HORIZONTAL BAR,Bronze,Tang Chia-hung,Taiwan,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S HIGH JUMP,Bronze,Eleanor Patterson,Australia,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S HIGH JUMP,Bronze,Iryna Gerashchenko,Ukraine,2024,Paris,Summer
ATHLETICS,WOMEN’S MARATHON,Gold,Sifan Hassan,Netherlands,2024,Paris,Summer
BASKETBALL,WOMEN’S,Gold,United States,United States,2024,Paris,Summer
CYCLING TRACK,MEN’S KEIRIN,Gold,Harrie Lavreysen,Netherlands,2024,Paris,Summer
CYCLING TRACK,WOMEN’S SPRING,Gold,Ellesse Andrews,New Zealand,2024,Paris,Summer
CYCLING TRACK,WOMEN’S OMNIUM,Gold,Jennifer Valente,United States,2024,Paris,Summer
HANDBALL,MEN’S,Gold,Denmark,Denmark,2024,Paris,Summer
MODERN PENTATHLON,WOMEN’S INDIVIDUAL,Gold,Michelle Gulyas,Hungary,2024,Paris,Summer
VOLLEYBALL,WOMEN’S,Gold,Italy,Italy,2024,Paris,Summer
WATER POLO,MEN’S,Gold,Serbia,Serbia,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S +81KG,Gold,Li Wenwen,China,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 76KG,Gold,Kagami Yuka,Japan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 65KG,Gold,Kiyooka Kotaro,Japan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 97KG,Gold,Akhmed Tazhudinov,Bahrain,2024,Paris,Summer
ARTISTIC SWIMMING,DUET,Gold,Wang Liuyi and Wang Qianyi,China,2024,Paris,Summer
BASKETBALL,MEN,Gold,United States,United States,2024,Paris,Summer
BEACH VOLLEYBALL,MEN,Gold,David Ahman and Jonatan Hellvig,Sweden,2024,Paris,Summer
BOXING,MEN’S 57KG,Gold,Abdumalik Khalokov,Uzbekistan,2024,Paris,Summer
BOXING,WOMEN’S 57KG,Gold,Lin Yu-ting,Taiwan,2024,Paris,Summer
BOXING,MEN’S +92KG,Gold,Bakhodir Jalolov,Uzbekistan,2024,Paris,Summer
BOXING,WOMEN’S 75KG,Gold,Li Qian,China,2024,Paris,Summer
BREAKING,B-BOYS,Gold,Phil Wizard (Philip Kim),Canada,2024,Paris,Summer
CANOE SPRINT,MEN’S 1000M SINGLE KAYAK,Gold,Josef Dostal,Czech Republic,2024,Paris,Summer
CANOE SPRINT,WOMEN’S 500M SINGLE KAYAK,Gold,Lisa Carrington,New Zealand,2024,Paris,Summer
CANOE SPRINT,WOMEN’S 200M SINGLE KAYAK,Gold,Katie Vincent,Canada,2024,Paris,Summer
CYCLING TRACK,MEN’S MADISON,Gold,Iúri Leitão and Rui Oliveira,Portugal,2024,Paris,Summer
DIVING,MEN’S 10M PLATFORM,Gold,Cao Yuan,China,2024,Paris,Summer
GOLF,WOMEN’S INDIVIDUAL,Gold,Lydia Ko,New Zealand,2024,Paris,Summer
HANDBALL,WOMEN,Gold,Norway,Norway,2024,Paris,Summer
MODERN PENTATHLON,MEN’S,Gold,Ahmed Elgendy,Egypt,2024,Paris,Summer
RHYTHMIC GYMNASTICS,GROUP ALL-AROUND,Gold,China,China,2024,Paris,Summer
SOCCER,WOMEN’S,Gold,United States,United States,2024,Paris,Summer
SPORT CLIMBING,WOMEN’S BOULDER & LEAD,Gold,Janja Garnbret,Slovenia,2024,Paris,Summer
TABLE TENNIS,WOMEN’S TEAM,Gold,China,China,2024,Paris,Summer
TAEKWONDO,MEN’S +80KG,Gold,Arian Salimi,Iran,2024,Paris,Summer
TAEKWONDO,WOMEN’S +67KG,Gold,Althea Laurin,France,2024,Paris,Summer
TRACK AND FIELD,MEN’S MARATHON,Gold,Tamirat Tola,Ethiopia,2024,Paris,Summer
TRACK AND FIELD,MEN’S 800M,Gold,Emmanuel Wanyonyi,Kenya,2024,Paris,Summer
TRACK AND FIELD,MEN’S 5000M,Gold,Jakob Ingebrigtsen,Norway,2024,Paris,Summer
TRACK AND FIELD,MEN’S HIGH JUMP,Gold,Hamish Kerr,New Zealand,2024,Paris,Summer
TRACK AND FIELD,MEN’S 4X400M RELAY,Gold,United States,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X400M RELAY,Gold,United States,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 1500M,Gold,Faith Kipyegon,Kenya,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S JAVELIN THROW,Gold,Haruka Kitaguchi,Japan,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 100M HURDLES,Gold,Masai Russell,United States,2024,Paris,Summer
VOLLEYBALL,MEN’S TEAM,Gold,France,France,2024,Paris,Summer
WATER POLO,WOMEN’S,Gold,Spain,Spain,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 102KG,Gold,Liu Huanhua,China,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 102KG,Gold,Lasha Talakhadze,Georgia,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 81KG,Gold,Solfrid Koanda,Norway,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 74KG,Gold,Razambek Zhamalov,Uzbekistan,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 62KG,Gold,Sakura Motoki,Japan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 125KG,Gold,Geno Petriashvili,Georgia,2024,Paris,Summer
TRACK AND FIELD,MEN’S 400M HURDLES,Gold,Rai Benjamin,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S TRIPLE JUMP,Gold,Jordan Diaz,Spain,2024,Paris,Summer
TRACK AND FIELD,MEN’S 4X100M RELAY,Gold,Canada,Canada,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X100M RELAY,Gold,United States,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S SHUT PUT,Gold,Yemisi Ogunleye,Germany,2024,Paris,Summer
TRACK AND FIELD,"WOMEN’S 10,000M",Gold,Beatrice Chebet,Kenya,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 400M,Gold,Marileidy Paulino,Dominican Republic,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X100M RELAY,Gold,United States,United States,2024,Paris,Summer
BEACH VOLLEYBALL,WOMEN’S,Gold,Brazil,Brazil,2024,Paris,Summer
BOXING,MEN’S 71KG,Gold,Asadkhuja Muydinkhujaev,Uzbekistan,2024,Paris,Summer
BOXING,MEN’S 92 KG,Gold,Lazizbek Mullojonov,Uzbekistan,2024,Paris,Summer
BOXING,WOMEN’S 50KG,Gold,Wu Yu,China,2024,Paris,Summer
BOXING,WOMEN’S 66KG,Gold,Imane Khelif,Algeria,2024,Paris,Summer
BREAKING,B-GIRLS,Gold,Ami (Ami Yuasa),Japan,2024,Paris,Summer
CANOE SPRINT,MEN’S KAYAK DOUBLE 500M,Gold,Max Lemke and Jacob Schopf,Germany,2024,Paris,Summer
CANOE SPRINT,MEN’S CANOE SINGLE 1000M,Gold,Martin Fuksa,Czech Republic,2024,Paris,Summer
CANOE SPRINT,WOMEN’S KAYAK DOUBLE 500M,Gold,Lisa Carrington and Alicia Hoskin,New Zealand,2024,Paris,Summer
CANOE SPRINT,WOMEN’S CANOE DOUBLE 500M,Gold,Sun Mengya and Xu Shixiao,China,2024,Paris,Summer
CYCLING TRACK,MEN’S SPRINT,Gold,Harrie Lavreysen,Netherlands,2024,Paris,Summer
CYCLING TRACK,WOMEN’S MADISON,Gold,Chiara Consonni and Vittoria Guazzini,Italy,2024,Paris,Summer
DIVING,WOMEN’S 3M SPRINGBOARD,Gold,Chen Yiwen,China,2024,Paris,Summer
FIELD HOCKEY,WOMEN’S,Gold,Netherlands,Netherlands,2024,Paris,Summer
MARATHON SWIMMING,MEN’S 10KM,Gold,Kristof Rasovsky,Hungary,2024,Paris,Summer
RHYTHMIC GYMNASTICS,INDIVIDUAL ALL-AROUND,Gold,Darja Varfolomeev,Germany,2024,Paris,Summer
